geneid,1,2,3,1-3ave,4,5,6,4-6ave,8,9,8-9ave,10,11,12,10-12ave,13,log2(4-6ave/1-3ave),log2(10-12ave/8-9ave)
ALG6,7.950828341,7.720921466,7.036858109,7.569535972,7.69592821,6.534860461,6.485514581,6.905434417,4.82649447,4.415354132,4.620924301,5.119181412,5.898318134,5.591441373,5.53631364,6.80161989,-0.132472668,0.260744169
ALG8,40.86740558,43.02822181,42.10381489,41.99981409,48.43915836,49.25014596,46.4064616,48.03192197,32.52836349,35.58871327,34.05853838,39.21653605,44.87994455,44.56287962,42.8864534,40.23423812,0.193610592,0.332505482
ALG9,3.987917721,4.228630088,4.790459997,4.335669269,5.030389283,4.641724911,5.016536055,4.89621675,3.696102528,3.38746742,3.541784974,4.383645012,4.140984905,4.403851286,4.309493735,4.198618823,0.175412678,0.283041696
ALPI,0,0,0,0,0,0,0,0,0,0.047525276,0.023762638,0.06478544,0,0,0.021595147,0,0,-0.137981799
ALPL,0.256070652,0.315935834,0.14397217,0.238659552,0.180334866,0.077307411,0.302834405,0.186825561,0,0,0,0,0,0,0,0.414385355,-0.353260551,0
ALPP,0,0.051760872,0.094349856,0.048703576,0.118179567,0,0.170106581,0.096095383,658.8729513,640.7668793,649.8199153,215.9451425,212.9958361,258.5980835,229.1796874,0.067890202,0.98042479,-1.503560774
AMDHD2,14.19728774,14.578854,14.17960996,14.3185839,15.52527891,18.39580847,16.17918718,16.70009152,17.69615182,16.7889842,17.24256801,16.71565264,17.26641775,18.46143325,17.48116788,17.21913836,0.221967177,0.019826913
AMY1A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMY1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMY1C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMY2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMY2B,0.256976522,0.042273798,0.096320989,0.131857103,0.072389126,0.077580892,0.121562282,0.090510767,0.378176206,0.317266589,0.347721398,0.227626858,0.142888507,0.173827586,0.18144765,0.221787347,-0.542808965,-0.938374671
ANXA4,26.36261617,26.28431909,27.22104372,26.62265966,26.73377331,23.79761851,26.06961109,25.53366763,40.82891024,39.48015215,40.15453119,33.15231892,32.69153282,33.76754268,33.20379814,23.42183695,-0.060253924,-0.27421451
ANXA5,1303.982487,1340.224088,1359.273905,1334.493494,1257.484985,1267.78359,1248.45143,1257.906669,102.0729863,107.6469753,104.8599808,135.5017593,145.552835,132.7035086,137.9193676,1129.418623,-0.085267387,0.395360875
ANXA7,152.6153126,150.0932734,153.2832423,151.9972761,181.6398467,178.3681324,184.1336725,181.3805505,122.9649447,123.5568179,123.2608813,188.5081562,181.3882728,175.5753917,181.8239402,176.7641671,0.254974292,0.560827152
ANXA9,0.52711148,0.606985521,0.316118522,0.483405174,0.791919593,0.12730744,0.356213055,0.425146696,28.70152367,27.1271987,27.91436119,8.124221948,5.778130867,8.84258837,7.581647062,0.568664095,-0.18527178,-1.880424199
