product,SRR16203174,SRR16203175,HaCaT_SFN,SRR16203176,SRR16203177,HaCaT_Cont
ATRN,65.50496967687764,61.97470362498344,63.739836650930535,53.577487637763056,58.888257577356285,56.23287260755967
FUT8,12.362837945369517,12.743421236298124,12.55312959083382,6.691380712460782,7.880730546797652,7.286055629629217
GBA,6.118634477117323,0.4572885238049471,3.287961500461135,3.423772816890215,0.5682605099065655,1.9960166633983905
HYAL1,22.270891774948108,20.33667666994624,21.30378422244717,20.86271374705823,21.374894311779617,21.118804029418925
HYAL2,15.730746724998,15.54907205191816,15.63990938845808,20.65382477103832,21.7322411895776,21.193032980307954
MBL2,0.0,0.0,0.0,0.0,0.0,0.0
MGAT3,0.1917329110476566,0.1945344552265335,0.193133683137095,0.2891102279682996,0.1564218691693783,0.2227660485688389
PKD2,16.873542368507245,15.91561864815202,16.394580508329632,14.252061512636637,17.410783140492093,15.831422326564365
PLA2R1,2.7025263826454906,2.034291961481185,2.3684091720633376,5.042490334264253,5.145433936661074,5.093962135462663
PRKAA2,0.0745696312156697,0.1134888306789815,0.0940292309473256,0.0281105144683738,0.0260727004507559,0.0270916074595648
PRNP,601.6789580901396,590.3901198365526,596.0345389633461,421.9029617910829,429.17089749636335,425.5369296437232
SDC1,307.53158933806094,309.7612444388268,308.64641688844387,374.8165529490459,388.8576682541967,381.8371106016213
SMPD3,1.1923908801694587,1.52373042534839,1.3580606527589243,1.1008055498346434,1.225205894584056,1.1630057222093495
SPHK1,74.71218484490947,70.0573248327263,72.38475483881788,48.64734593737923,46.99848687815478,47.822916407767
VNN1,0.3930030837684821,0.244129914950601,0.3185664993595416,0.0,0.0,0.0
